taxon,body_mass,age_at_first_birth,gestation_length,litter_size,litters_per_year,neonate_body_mass,weaning_age,reproductive_lifespan
Callithrix_jacchus,2.462712373194736,2.7443712273318606,2.1583624920952498,0.36361197989214433,,1.443106456737266,1.779884963192644,3.746392857179824
Callithrix_kuhlii,2.5740196863871163,,,,,,,
Callithrix_penicillata,2.5314533695566217,,,0.3010299956639812,,,,
Callithrix_pygmaea,2.09321149181366,2.9244912114147583,2.12852850379744,0.28555730900777376,,1.1613680022349748,1.9577509108772793,3.6694182351162605
Callorhinus_ursinus,4.744017607911231,,2.5544770456233694,0.01703333929878037,-0.3010299956639812,3.7287432547162522,2.0361895887541994,
Callosciurus_adamsi,2.3195640660921644,,,0.287801729930226,,,,
Callosciurus_baluensis,2.510424356092236,,,0.47712125471966244,,,,
Callosciurus_caniceps,2.4230983526454675,,,0.34044411484011833,,,,
Callosciurus_melanogaster,2.4712917110589387,,,,,,,
Callosciurus_nigrovittatus,2.318689269947746,,,0.37291200297010657,,,,
Callosciurus_notatus,2.321163296760679,,,0.41830129131974547,,,,
Callosciurus_orestes,2.510424356092236,,,0.47712125471966244,,,,
Callosciurus_prevostii,2.6020599913279625,,1.6635124704151556,0.11058971029924898,,1.2132520521963968,,
Calomys_boliviae,1.4313637641589874,,,,,,,
Calomys_callidus,1.4313637641589874,,,,,,,
Calomys_callosus,1.6527296960692477,1.6232492903979006,1.3384564936046048,0.6910814921229684,0.47712125471966244,0.38021124171160603,1.2631624649622166,
Calomys_expulsus,1.600537294364469,,,,,,,
Calomys_hummelincki,1.4313637641589874,,,,,,,
Calomys_laucha,1.146128035678238,,1.3979400086720377,0.724275869600789,,,,
Calomys_lepidus,1.3136563466180313,,,0.6324572921847242,,0.3010299956639812,,
Calomys_musculinus,1.3053513694466237,,1.3215984304653439,0.7972675408307164,,,,
Calomys_sorellus,1.3010299956639813,,,,,,,
Calomys_tener,1.1398790864012365,,,,,,,
Calomys_venustus,1.6931111154621412,,,,,,,
Calomyscus_bailwardi,1.330007700872759,,,0.6020599913279624,0.0,,,
Calomyscus_mystax,,,,0.69810054562339,0.3010299956639812,,,
Atelocynus_microtis,3.9223735213369033,,,,,,,
Atherurus_africanus,3.4587360262454205,,2.0341469771060456,0.17609125905568124,0.43933269383026263,2.1651552613920657,1.6567687792660166,
Atherurus_macrourus,3.3010299956639813,,,0.17609125905568124,,,,
Atilax_paludinosus,3.5563218023153405,,1.8880109122450288,0.3010299956639812,0.3010299956639812,2.0,1.55497345833324,
Atlantoxerus_getulus,2.3989290729854345,,,,,,,
Auliscomys_boliviensis,1.8507074853745373,,,0.5314789170422551,,,,
Auliscomys_pictus,1.6899301040182182,,,,,,,
Auliscomys_sublimis,1.5797835966168101,,,,,,,
Avahi_laniger,3.0383339816540107,2.9739125704197047,2.1340176456759834,0.004321373782642578,0.0,,2.1736232576980816,
Avahi_occidentalis,2.9185440528730537,,,0.00860017176191757,,,,
Axis_axis,4.841984742101695,,2.356962310706225,0.004321373782642578,,3.499255322286374,2.0851478121269045,
Axis_calamianensis,4.600020540527618,,2.3502480183341627,0.3010299956639812,,,,
Axis_kuhlii,4.740362610531603,,2.356962310706225,0.08635983067474821,0.11394335230683679,,,
Axis_porcinus,4.5734319913140045,,2.342679233587477,0.0,,3.395034435082626,,
Babyrousa_babyrussa,4.968249814618778,,2.194514341882467,0.2380461031287954,0.17609125905568124,2.8543060418010806,2.3281960599485494,
Balaenoptera_musculus,8.18842588580455,,2.5145079073020398,0.0,-0.3467874862246563,6.437530632088208,2.3257413721537965,
Balaenoptera_physalus,7.676748539648496,,2.5293790162876184,0.004321373782642578,-0.431798275933005,6.278753598667069,2.2935393307317566,
Balantiopteryx_io,0.5987905067631151,,,0.0,,-0.22914798835785583,,
Balantiopteryx_plicata,0.8175653695597808,2.5622928644564746,2.1424207542195597,-0.004364805402450088,0.0,0.3010299956639812,1.767823498007517,
Balionycteris_maculata,1.159266331093494,,,0.0,,,,
Bandicota_bengalensis,2.3560067248562,1.9602328731285124,1.2762319579218335,0.8627275283179746,0.7708520116421442,0.6857417386022636,1.4775553321989812,
Bandicota_indica,2.7657355933297056,2.4353665066126613,1.3066394410242617,0.7867514221455612,,0.989894563718773,1.436162647040756,
Cephalophus_niger,4.280904196592227,,2.100370545117563,0.0,,3.287801729930226,1.951774508081725,
Cephalophus_nigrifrons,4.166617468385611,,,,,,,
Cephalophus_ogilbyi,4.2644971764594155,,2.0851478121269045,0.0,,,,
Cephalophus_rufilatus,4.083308003703289,2.9001649571307615,2.3691972974203153,0.0,,2.9890491564382202,1.9324230263767388,3.426977836550925
Cephalophus_silvicultor,4.792437918385802,,2.3700131875541235,0.0,,3.6435237370420666,1.54282542695918,
Cephalophus_spadix,4.7547840936331545,,,,,,,
Cephalophus_zebra,4.194646136501806,,2.3500346963400576,0.0,,3.2317218361393345,1.13481437032046,
Cephalorhynchus_commersonii,4.859738566197147,,,-0.00877392430750515,,3.766021508353784,,
Cephalorhynchus_eutropia,4.653212513775344,,,-0.01322826573375516,,,,
Cephalorhynchus_heavisidii,4.602059882754328,,,-0.01322826573375516,,3.96259849933034,,
Cephalorhynchus_hectori,4.698969917477114,3.4653828514484184,,0.0,-0.37675070960209955,,2.5510228130338692,3.6414741105040997
Ceratotherium_simum,6.359064718812864,3.3915966372874995,2.7276957537986664,0.0,,4.685741738602264,2.5622928644564746,4.198278976257308
Cercartetus_caudatus,1.362670929725667,2.667452952889954,,0.37474834601010387,0.3010299956639812,,1.8810421081934057,2.846955325019824
